RowNames,20210812UT,20210817UT,20210830UT,20210905UT,20210906UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,0.9228622962406181,0.9140422953945935,0.9072327866949479,0.8902303585391705,0.8980138186922328,0.9064763111123126,0.011505317336436942,0.005145334333395964
1_Io,0.0,0.974602191693238,0.9838154333951159,0.9398910176173048,0.9685960341368182,0.9667261692106192,0.01641414356882986,0.007340628162468913
2_Europa,0.0,0.9579891632841536,0.9530098522357551,0.9384508304354177,0.9543977999326273,0.9509619114719885,0.007448301947777563,0.003330981894434944
3_Ganymede,0.0,0.9483307656506433,0.9473023318008498,0.9379206348075922,0.0,0.9445179107530285,0.004683834360224088,0.0020946744049620595
4_Callisto,0.9745420048629521,0.9490349998810883,0.9440739920356018,0.0,0.9547712858956019,0.955605570668811,0.011569726415544627,0.005174138949246553
Moons Ratio,0.9745420048629521,0.9574892801272809,0.9570504023668306,0.9387541609534381,0.9592550399883492,0.9574181776597701,0.011358568176841742,0.005079706114096797
Moons StdP,0.0,0.010588376496596828,0.015780565865571583,0.0008325099224932637,0.006606839975986222,0.0,0.0,0.0
95% Conf,0.0,0.005294188248298414,0.007890282932785792,0.00048064982785452027,0.0038144608386284262,0.0,0.0,0.0
Trans647,0.9469702605280708,0.9546240510108772,0.9479467167573605,0.9483104262728542,0.9361575193841462,0.0,0.0,0.0
NH3 Abs,0.05302973947192924,0.04537594898912278,0.05205328324263947,0.05168957372714578,0.06384248061585385,0.0,0.0,0.0
Trans Conf,0.0,0.005529240230861538,0.008244375545188374,0.0005120081996402041,0.003976482457339766,0.0,0.0,0.0
